"#MSM",Making Sense of Location-based Micro-posts Using Stream Reasoning.
"#Microposts",A Reverse Approach to Named Entity Extraction and Linking in Microposts.
"(KNOW@LOD/CoDeS)@ESWC",A Two-Fold Quality Assurance Approach for Dynamic Knowledge Bases: The 3cixty Use Case.,A Hybrid Method for Rating Prediction Using Linked Data Features and Text Reviews.
"*SEM@ACL",Improving Text-to-Pictograph Translation Through Word Sense Disambiguation.
"*SEM@COLING",More or less supervised supersense tagging of Twitter.,Text Summarization through Entailment-based Minimum Vertex Cover.
"*SEM@NAACL-HLT",A New Dataset and Evaluation for Belief/Factuality.
"*SEM",Double Trouble: The Problem of Construal in Semantic Annotation of Adpositions.
10th Anniversary Colloquium of UNU/IIST,A Tool Architecture for the Next Generation of Uppaal.
1981,,
1984,
1986,
1987,
1988,
1992,
1997,,,,
1999 ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery,Interestingness and Pruning of Mined Patterns.,Experiences with a Logic-based knowledge discovery Support Environment.
2003,
2005,
2006,
2007,,
2009,
2010,
2011,
2012,
2013,
2015,
2016,
2017,
2019,
2020,
25 Years Communicating Sequential Processes,On Model Checking Data-Independent Systems with Arrays with Whole-Array Operations.,A Trace Semantics for Long-Running Transactions.
25 Years GULP,"Agents, Multi-Agent Systems and Declarative Programming: What, When, Where, Why, Who, How?"
25 Years ISCA: Retrospectives and Reprints,The Stanford FLASH Multiprocessor.
25 Years of Model Checking,New Challenges in Model Checking.
25th Anniversary of INRIA,Control Software for Virtual-Circuit Switches: Call Processing.
35 Years of Fuzzy Set Theory,Fuzzy Techniques in Image Processing at Ghent University: Summary of a 12-Year Journey.
3D Flash Memories,RRAM Cross-Point Arrays.
"3D Image Processing, Measurement (3DIPM), and Applications","Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation."
"3D Imaging, Analysis and Applications",3D Medical Imaging.,Feature-Based Methods in 3D Shape Analysis.,Introduction.
3D Integration for NoC-based SoC Architectures,Influence of Stacked 3D Memory/Cache Architectures on GPUs.
3D Multiscale Physiological Human,"Coupled Biomechanical Modeling of the Face, Jaw, Skull, Tongue, and Hyoid Bone.",Clinical Gait Analysis and Musculoskeletal Modeling.
3D Research Challenges in Cultural Heritage,Enrichment and Preservation of Architectural Knowledge.
3D-GIS,Research on a feature based spatio-temporal data model.,Macro to Micro Archaeological Documentation: Building a 3D GIS Model for Jerash City and the Artemis Temple.,3D Modeling Moving Objects under Uncertainty Conditions.,Development of Country Mosaic Using IRS-WiFS Data.,Volumetric Spatiotemporal Data Model.,Automatic Generation of Pseudo Continuous LoDs for 3D Polyhedral Building Model.,Reconstruction of Complex Buildings using LIDAR and 2D Maps.,Digital Terrain Models Derived from SRTM Data and Kriging.
3DCVE@VR,When the giant meets the ant an asymmetric approach for collaborative and concurrent object manipulation in a multi-scale environment.
3DIC,3D integration demonstration of a wireless product with design partitioning.
3DIMPVT,Photo Tours.
3DIM,Scanning and Processing 3D Objects for Web Display.
3DOR@Eurographics,Monocular Image Based 3D Model Retrieval.
3DOR@MM,Single spin image-ICP matching for efficient 3D object recognition.
3DOR,SHREC 2020 Track: Extended Monocular Image Based 3D Model Retrieval.
3DPH,Vessels-Cut: A Graph Based Approach to Patient-Specific Carotid Arteries Modeling.
3DPVT,Towards Urban 3D Reconstruction from Video.
3DTV-Conference,Wireless controller for interactive virtual reality games.
3DUI,TouchPlanVS-A tangible multitouch planning system for virtual TV studio productions.,The Wonderland Builder: Using storytelling to guide dream-like interaction.,Evaluating natural interaction techniques in video games.,Crosscale: A 3D virtual musical instrument interface.,Interactive breadboard activity simulation (IBAS) for psychomotor skills education in electrical circuitry.
3DV (Workshops),4D Capture Using Visibility Information of Multiple Projector Camera System.,A Methodology for Creating Large Scale Reference Models with Known Uncertainty for Evaluating Imaging Solution.,Kinect Deform: Enhanced 3D Reconstruction of Non-rigidly Deforming Objects.,Semantic Parametric Reshaping of Human Body Models.
3DV,DepthSynth: Real-Time Realistic Synthetic Data Generation from CAD Models for 2.5D Recognition.,Efficient Deformable Shape Correspondence via Kernel Matching.
3DVis@IEEE VIS,Spatial augmented reality - A tool for 3D data visualization.
3GSE,SecurityEmpire: Development and Evaluation of a Digital Game to Promote Cybersecurity Education.
3PGCIC,The OFIDIA Fire Danger Rating System.,Towards an Educational Model for Lifelong Learning.
40 Jahre Informatik @ Braunschweig,Betriebssysteme und Rechnerverbund.
4OR,Operator non-availability periods.
4WARD Project,Introduction.
50 Years of Artificial Intelligence,Dynamical Systems in the Sensorimotor Loop: On the Interrelation Between Internal and External Mechanisms of Evolved Robot Behavior.,Brain Area V6A: A Cognitive Model for an Embodied Artificial Intelligence.
50 Years of Integer Programming,Solution of a Large-Scale Traveling-Salesman Problem.
5G World Forum,A 5G Radio-Light SDN Architecture for Wireless and Mobile Network Access in Buildings.
5GU,Research topics and initial results for the fifth generation (5G) mobile network.
5GWN,REFF: REliable and Fast Forwarding in Vehicular Ad-hoc Network.
6G SUMMIT,Mandate-driven Networking Eco-system: A Paradigm Shift in End-to-End Communications.,Benchmarking Q-Learning Methods for Intelligent Network Orchestration in the Edge.
"?????",??OpenCL???????????????????????? (Applied Analysis of Image Accelerating Distortion Correction of OpenCL Technology on Heterogeneous Platform).,???????????????? (Survey on Computerized Neurocognitive Assessment System).,????????GPU?????? (Parallel Algorithm Design for Assisted Diagnosis of Prostate Cancer).
A Comprehensive Guide Through the Italian Database Research,How Data Mining and Machine Learning Evolved from Relational Data Base to Data Science.
A Construction Manual for Robots' Ethical Systems,Ethical Regulation of Robots Must Be Embedded in Their Operating Systems.,Case-Supported Principle-Based Behavior Paradigm.,The Potential of Logic Programming as a Computational Tool to Model Morality.,Grafting Norms onto the BDI Agent Model.,Shall I Show You Some Other Shirts Too? The Psychology and Ethics of Persuasive Robots.,Constrained Incrementalist Moral Decision Making for a Biologically Inspired Cognitive Architecture.
A Guide to Publishing for Academics,Happy Marriage or Odd Couple: Reflections on Editing the Journal of Homeland Security and Emergency Management.
A Half-Century of Automata Theory,Hazard Algebras (Extended Abstract).
A List of Successes That Can Change the World,Reflections on Monadic Lenses.,The Essence of Dependent Object Types.
A Passion for Fuzzy Sets,Generation of Interval-Valued Fuzzy Negations from Trillas' Theorem. The Case of Interval Type-2 Fuzzy Sets.
A Perspective in Theoretical Computer Science,Generalized Parikh Vector and Public Key Cryptosystems.
A Tribute to Prof. Dr. Da Ruan,An Excellent Guest Professor in Hasselt University.
A Way with Words,The Lexical Population of Semantic Types in Hanks?s PDEV.
A-MOST,A subset of precise UML for model-based testing.,An integrated method for designing user interfaces based on tests.
A-Mobile@ASE,Exploring the effects of ad schemes on the performance cost of mobile phones.
A-SSCC,Dual-loop 2-step ZQ calibration for dedicated power supply voltage in LPDDR4 SDRAM.
A-TEST@ESEC/SIGSOFT FSE,Comparing automated visual GUI testing tools: an industrial case study.
A-TEST@SIGSOFT FSE,Towards an MDE-based approach to test entity reconciliation applications.,The complementary aspect of automatically and manually generated test case sets.
A2CWiC,Action potential and bursting phenomena using analog electrical neuron.,Aggregation of Gabor wavelets and curvelets with PCA for efficient retrieval of face images.
A2HC@AAMAS/A-HEALTH@PAAMS,Event Calculus Agent Minds Applied to Diabetes Monitoring.
A4Cloud,A Certification Framework for Cloud Security Properties: The Monitoring Path.,Definition of Data Sharing Agreements - The Case of Spanish Data Protection Law.
AAA-IDEA,Towards user-friendly mobile browsing.
AAAI (Late-Breaking Developments),Movie Recommender System for Profit Maximization (Short LBP).,Negative Influence Minimizing by Blocking Nodes in Social Networks.
AAAI Fall Symposia,HowNutsAreTheDutch: Personalized Feedback on a National Scale.
AAAI Fall Symposium: AI and Consciousness,LIDA: A Computational Model of Global Workspace Theory and Developmental Learning.
AAAI Fall Symposium: AI in Eldercare: New Solutions to Old Problems,TigerPlace: An Innovative Educational and Research Environment.
AAAI Fall Symposium: ALEC,Data and Deep Models Applied to Cyber Security Data Analysis.
AAAI Fall Symposium: Adaptive Agents in Cultural Contexts,Cultural Modeling in a Game Theoretic Framework.,Generating Adaptive Behaviors for Simulation-based Training.
AAAI Fall Symposium: Advances in Cognitive Systems,Towards a Domain-Independent Computational Framework for Theory Blending.
AAAI Fall Symposium: Agents and the Semantic Web,OWLS-MX: Hybrid OWL-S Service Matchmaking.,Dynamic Sub-Ontology Evolution for Collaborative Problem Solving.
AAAI Fall Symposium: Artificial Intelligence for Gerontechnology,Automated Fall Risk Assessment and Detection in the Home: A Preliminary Investigation.
AAAI Fall Symposium: Artificial Intelligence for Prognostics,Applying Outbreak Detection Algorithms to Prognostics.
AAAI Fall Symposium: Artificial Intelligence of Humor,Experimental Standards in Research on AI and Humor When Considering Psychology.
AAAI Fall Symposium: Aurally Informed Performance,Are You Talking to Me? Dialogue Systems Supporting Mixed Teams of Humans and Robots.,Embedded and Integrated Audition for a Mobile Robot.
AAAI Fall Symposium: Automated Scientific Discovery,Automatic Identification of Quasi-Experimental Designs for Scientific Discovery.
AAAI Fall Symposium: Biologically Inspired Cognitive Architectures,The SAL Integrated Cognitive Architecture.,Fitting a Model to Behavior Tells Us What Changes Cognitively when under Stress and with Caffeine.,"Figurative Language: ""Meaning"" is Often More than Just a Sum of the Parts.",Graded Attractors: Configuring Context-Dependent Workspaces for Ideation.
AAAI Fall Symposium: Building Representations of Common Ground with Intelligent Agents,Modeling Expert Effects and Common Ground Using Questions Under Discussion.
AAAI Fall Symposium: Capturing and Using Patterns for Evidence Detection,Tracking Quantity Fluctuations Using STT.
AAAI Fall Symposium: Caring Machines,An Approach to the Development of Technology to Empower the Elderly.
AAAI Fall Symposium: Coevolutionary and Coadaptive Systems,Asynchronous Chess.
AAAI Fall Symposium: Cognitive and Metacognitive Educational Systems,The Role of Prompting and Feedback in Facilitating Students' Learning about Science with MetaTutor.
AAAI Fall Symposium: Commonsense Knowledge,The Metacognitive Loop: An Architecture for Building Robust Intelligent Systems.
AAAI Fall Symposium: Complex Adaptive Systems and the Threshold Effect,Timing the Delivery of Preterm Fetus: A Case Study Based on Computer Simulation.
AAAI Fall Symposium: Complex Adaptive Systems,A Complex Adaptive Systems Investigation of the Social-Ecological Dynamics of Three Fisheries.
AAAI Fall Symposium: Computational Approaches to Representation Change during Learning and Development,Representing Systems with Hidden State.
AAAI Fall Symposium: Computational Models of Narrative,A Cultural Computing Approach to Interactive Narrative: The Case of the Living Liberia Fabric.
AAAI Fall Symposium: Developmental Systems,Development of Virtual Embryos with Emergent Self-Repair.
AAAI Fall Symposium: Dialog with Robots,Grounding New Words on the Physical World in Multi-Domain Human-Robot Dialogues.
AAAI Fall Symposium: Discovery Informatics,Discovering Protein Clusters.
AAAI Fall Symposium: Emergent Agents and Socialities,The Multi-Agent Simulation Suite.
AAAI Fall Symposium: Human Control of Bioinspired Swarms,Investigating Neglect Benevolence and Communication Latency During Human-Swarm Interaction.,Robotic Swarm Connectivity with Human Operation and Bandwidth Limitations.
AAAI Fall Symposium: Information Retrieval and Knowledge Discovery in Biomedical Text,OCR-Based Image Features for Biomedical Image and Article Classification: Identifying Documents Relevant to Genomic Cis-Regulatory Elements.
AAAI Fall Symposium: Integrating Reasoning into Everyday Applications,Implementing Logic Spreadsheets in LESS.,"Semantic Email Addressing: Sending to People, Not Strings."
AAAI Fall Symposium: Intelligent Narrative Technologies,How Can We Be Serious in a Game?
AAAI Fall Symposium: Interaction and Emergent Phenomena in Societies of Agents,Coupling Human and Non-Human Agents.,"Demeter, Persephone, and the Search for Emergence in Agent-Based Models."
